Loc | Stat/Teritoriu | Populație 
– |  Transnistria[Note 14] | 469.000 
168 |  Brunei | 459.500 
169 |  Belize | 419.199 
170 |  Bahamas | 389.410 
171 |  Maldive | 383.135 
172 |  Islanda | 368.010 
– |  Ciprul de Nord[Note 15] | 351.965 
173 |  Vanuatu | 304.500 
174 |  Barbados | 287.025 
– |  Polinezia Franceză (Franța) | 278.400 
– |  Noua Caledonie (Franța) | 271.407 
– |  Abhazia [Note 16] | 245.424 
175 |  São Tomé și Príncipe | 210.240 
176 |  Samoa | 202.506 
177 |  Sfânta Lucia | 178.696 
– |  Guam (SUA) | 172.400 
– |  Curaçao  (Țările de Jos) | 156.223 
– |  Arțah[Note 17] | 148.800 
178 |  Kiribati | 120.100 
– |  Aruba (Țările de Jos) | 112.269 
179 |  Grenada | 112.003 
180 |  Sfântul Vicențiu și Grenadine | 110.696 
– |  Jersey (UK) | 107.800 
181 |  Statele Federate ale Microneziei | 104.650 
– |  Insulele Virgine Americane (SUA) | 104.578 
182 |  Tonga | 100.651 
183 |  Seychelles | 98.462 
184 |  Antigua și Barbuda | 97.895 
– |  Insula Man (UK) | 83.314 
185 |  Andorra | 77.543 
186 |  Dominica | 71.808 
– |  Insulele Cayman (UK) | 65.813 
– |  Bermuda (UK) | 64.054 
– |  Guernsey (UK) | 62.506 
– |  Samoa Americană (SUA) | 56.700 
– |  Comunitatea Insulelor Mariane de Nord (SUA) | 56.200 
– |  Groenlanda (Danemarca) | 55.992 
187 |  Insulele Marshall | 55.500 
– |  Osetia de Sud[Note 18] | 53.532 
188 |  Sfântul Kitts și Nevis | 52.823 
– |  Insulele Feroe (Danemarca) | 51.540 
– |  Insulele Turks și Caicos (UK) | 41.369 
– |  Sint Maarten (Țările de Jos) | 40.939 
189 |  Liechtenstein | 38.749 
190 |  Monaco | 38.100 
– |  San Marino (Franța) | 35.746 
– |  Gibraltar (UK) | 33.701 
191 |  San Marino | 33.630 
– |  Insulele Åland (Finlanda) | 30.055 
– |  Insulele Virgine Britanice (UK) | 30.030 
192 |  Palau | 17.900 
– |  Insulele Cook(NZ) | 15.200 
– |  Anguilla | 15.174 
– |  Wallis și Futuna (Franța) | 11.700 
193 |  Nauru | 11.000 
194 |  Tuvalu | 10.200 
– |  Saint-Barthélemy (Franța) | 9.793 
– |  Saint Pierre și Miquelon (Franța) | 6.008 
– |  Insula Sfânta Elena (UK) | 5.633 
– |  Montserrat (UK) | 5.220 
– |  Insulele Falkland (UK) | 3.198 
– |  Insula Crăciunului (Australia) | 1.928 
– |  Insula Norfolk (Australia) | 1.756 
– |  Niue (NZ) | 1.520 
– |  Tokelau (NZ) | 1.400 
195 |  Vatican | 825 
– |  Insulele Cocos (Australia) | 555 
– |  Insulele Pitcairn (UK) | 50 
